ID,SITE,STRAT,UNIT,NAMED_ID,OTHERUNIT,RAWMATERIAL,CORTEX,CORTEXTYPE,ARTIFACTCLASS,COMPLETENESS,CORECOMPLETENESS,RETOUCHEDPIECETYPOLOGY,RETOUCHTYPE,RETOUCHFACE,RETOUCHREGIONNUMBER,RETOUCHREGIONLOCATION,LENGTHLONGESTRETOUCH,RETOUCHINVASIVENESS,EDGETHICKNESS_1,EDGETHICKNESS_2,EDGETHICKNESS_3,BACKEDTOOLEDGE_1,BACKEDTOOLEDGE_2,BACKEDTOOLEDGE_3,BACKEDTOOLWIDTH_1,BACKEDTOOLWIDTH_2,BACKEDTOOLWIDTH_3,BACKEDTOOLTHICKNESS_1,BACKEDTOOLTHICKNESS_2,BACKEDTOOLTHICKNESS_3,BACKEDTOOLARRIS,PLATFORM,FLAKEINITIATION,FLAKETERMINATION,PIECEBLANK,SCRAPERMAXTHICKNESS,SCRAPERRETOUCHLENGTH,SCRAPERRETOUCHANGLE1,SCRAPERRETOUCHANGLE2,SCRAPERRETOUCHANGLE3,SCRAPERDORSALANGLE1,SCRAPERDORSALANGLE2,SCRAPERDORSALANGLE3,SCRAPERRETOUCHHEIGHT1,SCRAPERRETOUCHHEIGHT2,SCRAPERRETOUCHHEIGHT3,FLAKEGEOMETRY,PLATFORMPREP,PLATABRASION,PLATFORMWIDTH,PLATFORMTHICKNESS,STAGE,CONARDUNIFIEDTYPE,CORESUBTYPOLOGY,COREBLANKSPHERICITY,COREPLATFACETED,SCARCOUNT,EXPLOITEDFACES,FLAKEGENERATIONSLENGTH,FLAKEGENERATIONSWIDTH,FLAKEGENERATIONSTHICKNESS,LENGHTLONGESTFLAKESCAR,MAXLENGTH,TECHLENGTH,MAXWIDTH,TECHWIDTH,MAXTHICKNESS,MASS,COMMMENTS,PHOTO,
921,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,TRAPEZOIDAL,NotPrepared,No,3.86,1.55,,,,,,,,,,,,7.96,,12.19,,2.68,0.24,,N,
922,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,3.22,1.2,Main,,,,,,,,,,,9.3,9.3,9.44,9.44,1.03,0.16,,N,
92,LIK,XV,O5a-057,,,Siltstone,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,5.52,1.44,Main,,,,,,,,,,,7.74,7.74,12.66,9.15,1.07,0.1,,N,
923,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Mesial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,19.2,,7.5,,2.16,0.5,,N,
924,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.06,2.07,Main,,,,,,,,,,,12.34,12.34,5.97,5.24,2,0.18,,N,
925,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,OVAL,ResidualFacetWithBulb,No,12.89,3.72,Main,,,,,,,,,,,15.66,15.66,16.99,16.99,1.62,0.7,,N,
926,LIK,XIII,,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,3.25,0.94,Main,,,,,,,,,,,20.32,20.32,6.48,6.48,2.53,0.41,,N,
927,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,KITE,NotPrepared,No,2.82,0.88,Main,,,,,,,,,,,26.22,26.22,9.65,8.99,3.61,0.79,,N,
928,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,OVAL,NotPrepared,No,6.08,1.92,Main,,,,,,,,,,,11.1,11.1,9.75,9.75,1.33,0.22,,N,
929,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,4.1,2.05,Main,,,,,,,,,,,15.3,12.29,12.58,10.69,3.46,0.63,,N,
930,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIANGULAR,,,,,,,,,,,,,,,,13.68,,11.36,,3,0.53,,N,
931,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,,,Feather,,,,,,,,,,,,,OVAL,,,,,,,,,,,,,,,,9.43,,13.89,,2.06,0.19,,N,
932,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,7.39,2.73,,,,,,,,,,,,19.94,,12.06,,3.66,0.93,,N,
93,LIK,XV,O5a-057,,,Siltstone,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.92,1.9,Main,,,,,,,,,,,15.23,15.23,18.54,18.54,3.83,1.46,,N,
933,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,,,Feather,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,12.81,,6.3,,1.77,0.16,,N,
934,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,4.53,2.5,Main,,,,,,,,,,,17.34,17.34,8.01,5.95,1.67,0.24,,N,
935,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,TRAPEZOIDAL,NotPrepared,No,6.37,1.45,,,,,,,,,,,,10.11,,12.48,,1.45,0.27,,N,
936,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRAPEZOIDAL,NotPrepared,No,11.02,2.51,Main,,,,,,,,,,,11.68,11.68,21.5,17.09,2.68,0.63,,N,
937,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,ResidualFacetWithBulb,No,8.16,3.89,Main,,,,,,,,,,,30.36,30.36,17.25,12.44,4.79,2.29,,N,
938,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,3.5,1.46,Main,,,,,,,,,,,13.91,13.91,17.72,17.72,1.19,0.32,,N,
939,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,3.41,1.28,Main,,,,,,,,,,,12.8,12.8,6.38,6.38,1.52,0.17,,N,
940,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Wedging,Feather,,,,,,,,,,,,,TRAPEZOIDAL,Indeterminate,No,3.33,0.75,Main,,,,,,,,,,,13.88,13.88,12.84,10.54,1.01,0.29,,N,
941,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,3.92,0.91,Main,,,,,,,,,,,15.32,15.32,9.25,6.51,1.21,0.19,,N,
942,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.37,3.27,Main,,,,,,,,,,,18.38,18.38,6.89,6.89,2.18,0.6,,N,
94,LIK,XV,O5a-057,,,Siltstone,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,21.48,3.29,,,,,,,,,,,,13.63,,22.32,,3.28,1.36,,N,
943,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,6.13,1.87,Main,,,,,,,,,,,12.57,12.57,7.24,6.22,2.75,0.22,,N,
944,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.71,1.48,Main,,,,,,,,,,,10.62,8.03,8.68,8.68,1.49,0.18,,N,
945,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRAPEZOIDAL,NotPrepared,No,5.55,1.47,Main,,,,,,,,,,,10.44,10.44,22.18,16.49,3.19,0.54,,N,
