"","Rem.Weight","Max.thick","Mean.t","GIUR"
"39",0.7,3.24,8.29779761904762,60.9187247856383
"40",0.77,4.07,8.29779761904762,37.7459460321081
"41",0.9,2.51,8.29779761904762,27.7858529606767
"42",1.01,4.73,8.29779761904762,101.343394527874
"43",1.07,2.42,8.29779761904762,44.6911552206086
"44",0.79,2.78,8.29779761904762,56.5545548990158
"45",1.12,3.91,8.29779761904762,114.748114537836
"46",1.51,5.64,8.29779761904762,157.69948590546
"47",0.54,2.52,8.29779761904762,65.9360815361655
"48",1.51,5.57,8.29779761904762,113.860339965696
"49",2.27,6.88,8.29779761904762,153.232666419608
"50",0.99,3.55,8.29779761904762,38.4780492343351
"51",2.21,3.76,8.29779761904762,75.0983492194845
"52",3.01,7.36,8.29779761904762,219.950415491093
"53",3.96,6.76,8.29779761904762,488.721369623156
"54",0.81,3.82,8.29779761904762,40.7359004517703
"55",1.31,5.03,8.29779761904762,49.1115761638105
"56",3.78,7.02,8.29779761904762,285.715065412398
"57",0.66,2.9,8.29779761904762,24.3957755114295
"58",0.93,2.81,8.29779761904762,18.8362062760915
"59",1.55,5.49,8.29779761904762,102.201394597117
"60",0.7,3.41,8.29779761904762,49.8908907091068
"61",0.93,4.03,8.29779761904762,51.6658250182758
"62",1.76,5.81,8.29779761904762,88.9735730748167
"63",1.39,5.96,8.29779761904762,289.211453319013
"64",1.65,5.91,8.29779761904762,126.097307826576
"65",0.58,3.4,8.29779761904762,33.931383312208
"66",2.31,5.74,8.29779761904762,201.14348436457
"67",0.5,2.28,8.29779761904762,46.5917471827492
"68",3.21,8.68,8.29779761904762,208.20211236049
"69",1.54,6.22,8.29779761904762,75.1649396591208
"70",0.82,3.3,8.29779761904762,50.0934472517126
"71",3.66,5.93,8.29779761904762,116.430414005601
"72",1,3.35,8.29779761904762,10.9400298639965
"73",1.43,4.93,8.29779761904762,94.9540946316186
"74",0.62,3.42,8.29779761904762,31.6327637511327
"75",0.51,3.17,8.29779761904762,10.3570424853291
"76",1.26,5.06,8.29779761904762,58.0101908955353
"77",0.57,2.91,8.29779761904762,47.3064345705007
"78",1.06,3.91,8.29779761904762,5.58178220705049
"79",2.93,3.91,8.29779761904762,152.938525227568
"80",1.5,3.6,8.29779761904762,31.7354250817257
"81",1.43,4.93,8.29779761904762,41.4997191377303
"82",0.84,4.15,8.29779761904762,23.9097918176102
