"","contrast","ratio","lower.HPD","upper.HPD"
"1","STRAT_mod0.01 Hornfels / STRAT_mod0.09 Hornfels",1.34855186874337,0.945440622848413,1.84431517540539
"2","STRAT_mod0.01 Hornfels / STRAT_mod0.1 Hornfels",1.20075516345153,0.897870926581363,1.55240456895424
"3","STRAT_mod0.01 Hornfels / STRAT_mod0.2 Hornfels",0.590112545334165,0.443596318276011,0.760293612322196
"4","STRAT_mod0.01 Hornfels / STRAT_mod0.3 Hornfels",1.46486008198748,1.10765940522469,1.88791698491578
"5","STRAT_mod0.01 Hornfels / STRAT_mod0.82 Hornfels",0.785299175347293,0.596056147482578,0.99276135687441
"6","STRAT_mod0.01 Hornfels / STRAT_mod1.08 Hornfels",1.15710156971525,0.899390407839263,1.49962291867444
"7","STRAT_mod0.01 Hornfels / STRAT_mod1.44 Hornfels",1.23566127348083,0.950770766329137,1.58142041838679
"8","STRAT_mod0.01 Hornfels / STRAT_mod2.15 Hornfels",1.47186781403598,1.04937892202375,1.99549845491932
"9","STRAT_mod0.01 Hornfels / STRAT_mod2.88 Hornfels",4.44327900555931,3.33133094021567,5.57198995634351
"10","STRAT_mod0.01 Hornfels / STRAT_mod3.37 Hornfels",1.75005080832274,1.33408077892994,2.19592066903755
"11","STRAT_mod0.01 Hornfels / (STRAT_mod0.01 Opaline/CCS)",1.80861343186926,1.75303564700069,1.86326894710584
"12","STRAT_mod0.01 Hornfels / (STRAT_mod0.09 Opaline/CCS)",2.44937932357095,1.72243113748435,3.35145696933539
"13","STRAT_mod0.01 Hornfels / (STRAT_mod0.1 Opaline/CCS)",2.16772970282968,1.61748084555656,2.81270102559381
"14","STRAT_mod0.01 Hornfels / (STRAT_mod0.2 Opaline/CCS)",1.07016105184128,0.802210763921941,1.38064898441431
"15","STRAT_mod0.01 Hornfels / (STRAT_mod0.3 Opaline/CCS)",2.64560435511759,2.01591655365983,3.43440696147065
"16","STRAT_mod0.01 Hornfels / (STRAT_mod0.82 Opaline/CCS)",1.41830516303566,1.08489094933036,1.81698464091439
"17","STRAT_mod0.01 Hornfels / (STRAT_mod1.08 Opaline/CCS)",2.09709849739434,1.61362250391051,2.70177961450663
"18","STRAT_mod0.01 Hornfels / (STRAT_mod1.44 Opaline/CCS)",2.23463256513832,1.69359655852936,2.83845347852163
"19","STRAT_mod0.01 Hornfels / (STRAT_mod2.15 Opaline/CCS)",2.66364431937792,1.88100947009513,3.60463341483609
"20","STRAT_mod0.01 Hornfels / (STRAT_mod2.88 Opaline/CCS)",8.04305369990832,6.02064790141364,10.1375045194549
"21","STRAT_mod0.01 Hornfels / (STRAT_mod3.37 Opaline/CCS)",3.17630767850552,2.44003942550169,4.04261250160262
"22","STRAT_mod0.09 Hornfels / STRAT_mod0.1 Hornfels",0.880102285108334,0.690987484945518,1.12093518204357
"23","STRAT_mod0.09 Hornfels / STRAT_mod0.2 Hornfels",0.433533663070156,0.344276827642432,0.55450104937808
"24","STRAT_mod0.09 Hornfels / STRAT_mod0.3 Hornfels",1.0813301825498,0.829718733125199,1.33422067122288
"25","STRAT_mod0.09 Hornfels / STRAT_mod0.82 Hornfels",0.578080796449979,0.45969804583852,0.721998803453467
"26","STRAT_mod0.09 Hornfels / STRAT_mod1.08 Hornfels",0.851259431948831,0.679673517302453,1.07066327815418
"27","STRAT_mod0.09 Hornfels / STRAT_mod1.44 Hornfels",0.913362059288695,0.710226130909997,1.12498694271461
"28","STRAT_mod0.09 Hornfels / STRAT_mod2.15 Hornfels",1.08529912536494,0.7697328281875,1.41820133987675
"29","STRAT_mod0.09 Hornfels / STRAT_mod2.88 Hornfels",3.2777387806167,2.60707381650781,4.07591011704672
"30","STRAT_mod0.09 Hornfels / STRAT_mod3.37 Hornfels",1.29603152631087,1.03299260687172,1.61552172447955
