"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"2765","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod0.3 - STRAT_mod3.37)","Opaline/CCS",0.0107930199208488,-0.0115432072982151,0.0313685543006255
"2766","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod0.82 - STRAT_mod1.08)","Opaline/CCS",0.0858250095069533,0.0452447038175467,0.127603711999823
"2767","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod0.82 - STRAT_mod1.44)","Opaline/CCS",0.0377756294063589,-0.00729349665915047,0.0767983958296727
"2768","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod0.82 - STRAT_mod2.15)","Opaline/CCS",0.051655391130119,-0.00176575138695112,0.104254352646181
"2769","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod0.82 - STRAT_mod2.88)","Opaline/CCS",0.0252239055607615,-0.0173670366874319,0.0664472093087305
"2770","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod0.82 - STRAT_mod3.37)","Opaline/CCS",0.0478050814832394,0.00872784249841985,0.0902180566273136
"2771","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod1.08 - STRAT_mod1.44)","Opaline/CCS",-0.0111666956076111,-0.0457765354716448,0.0257432934393398
"2772","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod1.08 - STRAT_mod2.15)","Opaline/CCS",0.00291611413303006,-0.0457541153765422,0.0512172279471912
"2773","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod1.08 - STRAT_mod2.88)","Opaline/CCS",-0.0238358785666535,-0.0602677299680074,0.0120729048126171
"2774","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod1.08 - STRAT_mod3.37)","Opaline/CCS",-0.000793669665775765,-0.0346037192144797,0.0354762449291961
"2775","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod1.44 - STRAT_mod2.15)","Opaline/CCS",0.0514351381367852,0.00189627327403219,0.0990286822562818
"2776","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod1.44 - STRAT_mod2.88)","Opaline/CCS",0.024882948101342,-0.0114411293431407,0.0608981120572096
"2777","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod1.44 - STRAT_mod3.37)","Opaline/CCS",0.0477768630707185,0.0118203821468823,0.0819513034569264
"2778","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod2.15 - STRAT_mod2.88)","Opaline/CCS",0.0110111706066811,-0.0347316948057572,0.0620817320392457
"2779","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod2.15 - STRAT_mod3.37)","Opaline/CCS",0.0335805185206097,-0.0137032981239176,0.0826105638089203
"2780","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod2.88 - STRAT_mod3.37)","Opaline/CCS",0.059900229309336,0.0240454257810612,0.0953783650707014
"2781","(STRAT_mod0.3 - STRAT_mod1.08) - (STRAT_mod0.3 - STRAT_mod1.44)","Opaline/CCS",-0.0483616618454432,-0.0706288646112538,-0.0256024223945945
"2782","(STRAT_mod0.3 - STRAT_mod1.08) - (STRAT_mod0.3 - STRAT_mod2.15)","Opaline/CCS",-0.0342853047819207,-0.0735414248598647,0.00638509266011145
"2783","(STRAT_mod0.3 - STRAT_mod1.08) - (STRAT_mod0.3 - STRAT_mod2.88)","Opaline/CCS",-0.0605774717408372,-0.0836409948072312,-0.0380778295700743
"2784","(STRAT_mod0.3 - STRAT_mod1.08) - (STRAT_mod0.3 - STRAT_mod3.37)","Opaline/CCS",-0.0380457322779697,-0.0587388524954457,-0.0162775781708611
