"","contrast","estimate","lower.HPD","upper.HPD"
"20","STRAT_mod0.14 - STRAT_mod3.37",0.23970866301643,-0.380002971333568,1.08754934683333
"21","STRAT_mod0.14 - STRAT_mod13.67",0.117631200494067,-0.728387486558404,1.32194462641451
"22","STRAT_mod0.2 - STRAT_mod0.24",0.00928879455854315,-1.05217250259329,1.0665461040831
"23","STRAT_mod0.2 - STRAT_mod0.3",-0.149089032809002,-1.0753122224412,0.592230859339566
"24","STRAT_mod0.2 - STRAT_mod0.82",-0.192401645702603,-1.1350690727304,0.490141590326573
"25","STRAT_mod0.2 - STRAT_mod1.08",-0.248544389250554,-1.09531376510768,0.57910118528963
"26","STRAT_mod0.2 - STRAT_mod1.44",0.286691850490516,-0.499301654694364,1.28940752926434
"27","STRAT_mod0.2 - STRAT_mod2.15",0.135165148036151,-0.715178660167567,0.94093740208757
"28","STRAT_mod0.2 - STRAT_mod2.88",0.361943813060122,-0.223145277915364,1.27730130481278
"29","STRAT_mod0.2 - STRAT_mod3.37",0.396981693680232,-0.282705821347804,1.23438820477139
"30","STRAT_mod0.2 - STRAT_mod13.67",0.269869526491107,-0.656990723130605,1.46030443084328
"31","STRAT_mod0.24 - STRAT_mod0.3",-0.17265236033424,-1.24641059167516,0.806463904415978
"32","STRAT_mod0.24 - STRAT_mod0.82",-0.207712716535127,-1.15412450055055,0.778446387381109
"33","STRAT_mod0.24 - STRAT_mod1.08",-0.273213878199101,-1.38234725011216,0.667917140835584
"34","STRAT_mod0.24 - STRAT_mod1.44",0.255020538535483,-0.752851272177395,1.26877070432636
"35","STRAT_mod0.24 - STRAT_mod2.15",0.0798984877236677,-0.821515431273838,1.24646108326021
"36","STRAT_mod0.24 - STRAT_mod2.88",0.321936607963096,-0.529613121608634,1.35506597601915
"37","STRAT_mod0.24 - STRAT_mod3.37",0.332362716392623,-0.403402672586083,1.47917152596142
"38","STRAT_mod0.24 - STRAT_mod13.67",0.202848089423028,-0.744482937231851,1.46025599535938
"39","STRAT_mod0.3 - STRAT_mod0.82",-0.0442017611809717,-0.829700053191686,0.737552413868116
"40","STRAT_mod0.3 - STRAT_mod1.08",-0.0955230250793875,-1.00454994598613,0.664106502248387
"41","STRAT_mod0.3 - STRAT_mod1.44",0.453380845720817,-0.337362174800376,1.51084480063963
"42","STRAT_mod0.3 - STRAT_mod2.15",0.27738341615165,-0.559791841216114,1.18751231385548
"43","STRAT_mod0.3 - STRAT_mod2.88",0.536074400795371,-0.245782958760259,1.47698020098255
"44","STRAT_mod0.3 - STRAT_mod3.37",0.556938077059741,-0.0499586705253421,1.56642300043958
"45","STRAT_mod0.3 - STRAT_mod13.67",0.403547084397843,-0.463008698203282,1.64903017412189
"46","STRAT_mod0.82 - STRAT_mod1.08",-0.0610395806841666,-0.780943924123676,0.586305456982018
"47","STRAT_mod0.82 - STRAT_mod1.44",0.499225658823043,-0.204935727739269,1.50525816059394
"48","STRAT_mod0.82 - STRAT_mod2.15",0.328825695709149,-0.523698773830006,1.22030301743052
"49","STRAT_mod0.82 - STRAT_mod2.88",0.578278125872313,-0.10072619907163,1.41461555652882
"50","STRAT_mod0.82 - STRAT_mod3.37",0.609824559546261,-0.0476448173163107,1.46948235646607
"51","STRAT_mod0.82 - STRAT_mod13.67",0.448187523469016,-0.44284868284285,1.7081668301264
"52","STRAT_mod1.08 - STRAT_mod1.44",0.553789262941146,-0.276455308775013,1.59140561593699
"53","STRAT_mod1.08 - STRAT_mod2.15",0.385336946317132,-0.348835912386797,1.34609107125772
"54","STRAT_mod1.08 - STRAT_mod2.88",0.641234591692196,-0.0805776054293688,1.57132269730516
"55","STRAT_mod1.08 - STRAT_mod3.37",0.669092111671318,-0.124154975095649,1.55111747336616
"56","STRAT_mod1.08 - STRAT_mod13.67",0.523550302630213,-0.400879726071253,1.79321847565097
"57","STRAT_mod1.44 - STRAT_mod2.15",-0.161826619323396,-1.15341761476645,0.615547470039928
"58","STRAT_mod1.44 - STRAT_mod2.88",0.0713142409485386,-0.678640677660326,0.811059751241601
"59","STRAT_mod1.44 - STRAT_mod3.37",0.0882744927639578,-0.67710492957076,0.730218752828392
"60","STRAT_mod1.44 - STRAT_mod13.67",-0.0335072330631334,-1.12336035400244,0.952359434634673
"61","STRAT_mod2.15 - STRAT_mod2.88",0.228635617169729,-0.471843321705705,1.09303195091331
"62","STRAT_mod2.15 - STRAT_mod3.37",0.250673311432351,-0.415242663581367,1.05576572483346
"63","STRAT_mod2.15 - STRAT_mod13.67",0.12673212977603,-0.729641392712153,1.33768695955996
"64","STRAT_mod2.88 - STRAT_mod3.37",0.0220518424589891,-0.560980411677351,0.549186434156525
"65","STRAT_mod2.88 - STRAT_mod13.67",-0.099194243955397,-1.02340276350344,0.916119108656858
"66","STRAT_mod3.37 - STRAT_mod13.67",-0.116584723268204,-1.04085338550522,0.740153860304872
